,Hospital_Norm,Traffic_Norm,Enforcement_Norm,Fire_Norm,Roads_Norm,Median_Age_Norm,Crude Depression Prevalence Estimate_Norm,Average_Family_Size_Norm,Population_Density_Norm,Shannon_Weiner,Percent_Male,Percent_H,Overdoses,County Name
2844,3.936602164163834e-05,0.05392425072418009,0.0008266864544744051,0.00018370810099431223,0.007796706349675483,0.6181818181818182,0.625,0.7925925925925926,4.3486991947919167e-05,0.2081942085138055,0.5299990955955504,0.2951252600162792,10.0,EAGLE
2845,0.00011681658460600617,0.049298805566164186,0.0006132870691815324,0.00013628601537367385,0.02554369928539613,0.7127272727272728,0.6979166666666667,0.7703703703703705,4.8791488693477166e-05,0.5163998697147406,0.4681293739360696,0.0220351806317382,0.0,EARLY
2846,7.699625267384598e-05,0.062028278126660744,0.001212690979613074,0.00035931584581128123,0.014153423540394663,0.7745454545454545,0.8055555555555555,0.7234567901234569,4.022164975145797e-05,0.2060732417624367,0.5025635309852876,0.1798930004458314,0.0,EASTLAND
2847,2.5194829444870412e-05,0.02149467205114899,3.3068213646392416e-05,2.204547576426161e-05,0.020440738904041654,0.610909090909091,0.732638888888889,0.7234567901234569,0.000706674847978296,0.2497753889809039,0.4970656233327405,0.0294560873105759,704.0,EAU CLAIRE
2849,3.934684135912208e-06,0.01799675141993682,1.0328545856769548e-05,2.295232412615455e-06,0.014626302949656245,0.5727272727272728,0.7222222222222222,0.8197530864197531,0.0016031527640969728,0.2916989922829669,0.5145304564583605,0.6567206857753825,1292.0,ECTOR
2850,3.6886198084800616e-05,0.028186119059194777,0.00019365253994520324,0.00017213559106240287,0.0037183259722559005,0.7166189555125726,0.6180555555555556,0.74648804833202,3.917662047446123e-05,0.237963405966139,0.5115066225165563,0.526523178807947,697.0,EDDY
2854,1.1225436240853496e-05,0.01917086787370889,5.893354026448086e-05,5.893354026448086e-05,0.026041975162392147,0.72,0.732638888888889,0.7604938271604939,0.0005092294418086459,0.5145809150205833,0.466719115546262,0.0589428790294196,831.0,EDGECOMBE
2855,0.0001348886966840054,0.025380395545149488,0.0007081656575910284,0.00047211043839401887,0.026041461006910165,0.7327272727272727,0.7222222222222222,0.7506172839506173,4.1894744618283003e-05,0.4967644045650687,0.5408436061191149,0.0744096242388237,216.0,EDGEFIELD
2857,7.801383174586503e-05,0.04788815196492425,0.001228717849997374,0.0004095726166657913,0.033701849776593545,0.786896256684492,0.6180555555555556,0.7076310820624546,0.00015682401026209167,0.1225330397032165,0.4872343930159776,0.0151540108713556,0.0,EDWARDS
2866,1.1244401401029388e-05,0.024074474409151624,0.00020661587574391502,3.935540490360286e-05,0.027482601991915653,0.7127272727272728,0.71875,0.7481481481481481,0.0010738918477731724,0.4038808420411507,0.4977332309786938,0.0646717168059558,386.0,EFFINGHAM
2870,8.378511345994908e-06,0.024704931316207046,6.59807768497099e-05,3.176852218689736e-05,0.0073835233792914285,0.7909090909090909,0.6180555555555556,0.7382716049382717,0.0003878840257829324,0.3338550814523406,0.5006592402645267,0.1406725288871816,1643.0,EL DORADO
