,County Name,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Pharmacies,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H
11136,RIPLEY,114.0,,39.908620689655166,3.0395689655172418,464.0,871018.0,11422686.0,24207.2,232460.48,,3.0,16.0,23.2,0.5012892357410527,0.1117447560786446,0.0191494482071028
11140,RITCHIE,0.0,,44.2,2.85,154.0,181582.0,1595286.0,3542.0,69848.24,,1.0,5.0,26.8,0.5072499086145973,0.0892621547067325,0.0119410259534543
11141,RIVERSIDE,29311.0,17.0,33.7,3.61,6230.0,124486257.0,13879125470.0,1867754.0,45498624.49999999,312.0,14.0,36.0,17.8,0.5028182199618255,0.5053386695458231,0.5203148710013573
11142,ROANE,1644.0,2.0,44.39538461538461,2.8836043956043955,455.0,1745721.0,18303149.0,44992.8,194279.63,,,16.0,25.5,0.4957699429940815,0.18632814007757,0.0262336153371337
11146,ROANOKE,1054.0,1.0,,,,,,,,,2.0,4.0,20.0,0.4844398126173721,0.3316546202861147,0.0392925686691293
11147,ROANOKE (CITY),3099.0,,,,,,,,,,,,,,,
11148,ROBERTS,0.0,1.0,39.76052631578947,3.078157894736842,228.0,195805.0,2047320.0,1768.5,251902.56000000003,3.0,,9.0,15.9,0.5144150349306307,0.5473520801062866,0.0431959067204565
11152,ROBERTSON,1416.0,1.0,39.60732265446224,3.046132723112128,437.0,2050457.0,16182055.0,32033.7,246410.95,,3.0,12.0,25.3,0.5056078959174518,0.1249560544131853,0.0210856886496186
11161,ROBESON,3902.0,1.0,34.4,3.19,825.0,4451140.0,112742025.0,116407.5,784583.2500000001,,,18.0,22.8,0.482320872941721,0.762509884831896,0.0984802379503355
11162,ROCK,2590.0,5.0,39.07358339984038,2.9802793296089387,1253.0,5659414.0,150317255.0,208702.5,848943.5399999999,3.0,,18.0,21.7,0.497116493656286,0.1620637258997862,0.0346020761245674
11171,ROCK ISLAND,866.0,2.0,40.0,2.93,2397.0,15110991.0,353454429.0,783339.6,1082341.38,,9.0,18.0,17.8,0.4948031117737251,0.4194459576823585,0.1394221597292389
11172,ROCKDALE,718.0,1.0,36.8,3.23,324.0,3221697.0,27956340.0,208882.8,42823.08,,2.0,1.0,17.6,0.4687947443780005,0.5376492614895161,0.1081655857828687
11173,ROCKINGHAM,5404.0,5.0,40.9170820117807,2.9788717716357045,2207.0,8478871.0,183313604.0,246284.4,1706272.73,,8.0,69.0,19.2,0.4992862151873372,0.1756188201815291,0.0378869465037066
11182,ROCKLAND,2280.0,5.0,36.6,3.58,1416.0,11943381.0,445938048.0,2471061.6,252911.76,,1.0,22.0,16.8,0.4958704744824819,0.4741210668628328,0.194426910348001
11183,ROCKWALL,553.0,1.0,35.8,3.29,396.0,4114222.0,33005016.0,208612.8,58881.24,,1.0,5.0,20.8,0.5001460944094539,0.3998625097101581,0.2091990779819492
11184,ROGER MILLS,0.0,1.0,41.4,2.97,115.0,60450.0,425385.0,368.0,131817.6,1.0,1.0,6.0,23.8,0.5006024096385542,0.3079016301154736,0.0900602409638554
11185,ROGERS,535.0,2.0,38.1,3.1,392.0,2576343.0,34673184.0,47863.2,278908.0,3.0,,10.0,23.4,0.5021348496499252,0.5257029761532952,0.0581468290906147
11186,ROSS,2154.0,2.0,39.8,2.95,561.0,2155954.0,44212971.0,63168.6,388773.0,,,16.0,25.4,0.5242278672688824,0.253526940207828,0.0145941571156306
11187,ROWAN,3099.0,3.0,37.49197267292912,2.980444064901793,1171.0,7519125.0,137016690.0,267539.9,559071.66,,2.0,28.0,27.3,0.489749056913236,0.1471287150098802,0.0218140068886337
11191,RUNNELS,0.0,2.0,42.4,2.98,173.0,320825.0,1817711.0,1712.7,182876.57,,1.0,2.0,21.6,0.5140480778983669,0.239000419912905,0.3582513439496906
11192,RUSK,10.0,2.0,39.99171270718232,3.048563535911602,724.0,1307178.0,33078096.0,34988.2,678276.6,,1.0,15.0,22.4,0.5326908293176832,0.411557960974156,0.1859449121557009
11196,RUSSELL,661.0,4.0,41.67899328859061,2.878335570469799,1490.0,5468445.0,44292830.0,82139.5,869387.46,1.0,3.0,22.0,24.6,0.476270173341303,0.5571371811394225,0.0616685167790965
11212,RUTHERFORD,6164.0,5.0,38.4408,3.00016,1000.0,8005068.0,148597552.0,237792.0,588688.72,,,26.0,23.4,0.487739174607084,0.3086321594118979,0.0548619983683019
11216,RUTLAND,1001.0,1.0,44.3,2.8100000000000005,729.0,2065762.0,45204561.0,47530.8,688861.26,,1.0,25.0,22.8,0.4997018189046814,0.1243714159569553,0.0185534903753768
11217,SABINE,0.0,2.0,46.86892430278885,2.831513944223108,251.0,507129.0,4036025.0,5202.400000000001,185188.94,,7.0,9.0,25.7,0.5024880573248408,0.2862346536943889,0.0524482484076433
11219,SACRAMENTO,16430.0,13.0,34.8,3.31,6240.0,95695188.0,8938531680.0,8907600.0,6202060.8,209.0,11.0,13.0,16.8,0.4934542968584791,0.7238733236895857,0.2447813333047168
11220,SALEM,1271.0,2.0,40.6,2.86,222.0,2770160.0,5587740.0,378954.0,3225.66,,2.0,19.0,20.2,0.4933734662223382,0.4036128752369385,0.1116605494724879
11222,SALEM (CITY),418.0,,,,,,,,,,,,,,,
11223,SALINE,1375.0,10.0,39.28243014394581,2.951917866215072,2362.0,8838489.0,117680355.0,183148.9,1431150.4,19.0,8.0,44.0,23.2,0.4904873701484802,0.3254537964515568,0.0588032067338269
11248,SALT LAKE,10491.0,15.0,30.9,3.51,4464.0,68862983.0,4728817872.0,5692492.8,3604456.8,136.0,1.0,11.0,24.2,0.5068749857745835,0.3766280365475184,0.1970736526739146
11249,SAMPSON,655.0,1.0,38.1,3.1100000000000003,722.0,1877390.0,46319188.0,48374.0,683885.62,,,12.0,21.7,0.4999830852503383,0.5540690169197638,0.2188261163734776
11250,SAN BENITO,395.0,1.0,34.3,3.61,57.0,1474943.0,3220557.0,2262.9,79256.22,6.0,2.0,3.0,16.9,0.5062963346601755,0.3981624456137937,0.6244839373178058
11251,SAN BERNARDINO,19092.0,23.0,31.7,3.68,10155.0,118600385.0,20940026355.0,1027686.0,204172977.3,292.0,15.0,33.0,16.9,0.5021940541269917,0.5492979157887451,0.56234933827364
11252,SAN DIEGO,33116.0,22.0,34.7,3.3100000000000005,10889.0,267613394.0,34163486159.0,7955503.4,46130486.27,448.0,22.0,51.0,16.7,0.5068347308839976,0.5500625599845778,0.3500507293798195
11253,SAN FRANCISCO,20164.0,13.0,38.5,3.11,1656.0,30962791.0,1365097104.0,28144216.8,78461.28,128.0,7.0,2.0,14.0,0.513873066175843,0.6752972185639503,0.1585305966946094
11254,SAN JACINTO,10.0,,43.0,3.07,143.0,503950.0,3782207.0,6006.0,89795.42000000001,,1.0,9.0,23.4,0.5016579652885566,0.3284162566448463,0.1680541837166643
11255,SAN JOAQUIN,6791.0,8.0,,,,,,,,102.0,9.0,19.0,16.0,0.501532344379744,0.6823887823474897,0.4308390137022221
11256,SAN JUAN,1545.0,24.0,32.62586805555556,3.4502604166666666,576.0,2997685.0,61571512.0,10835.1,3421545.14,23.0,2.0,19.0,18.7,0.5703611457036114,0.1532014590826471,0.1432129514321295
11272,SAN LUIS OBISPO,3650.0,3.0,39.4,2.97,901.0,14578105.0,244728719.0,73161.2,2991229.9,33.0,9.0,19.0,18.1,0.5052355742465773,0.3222360618735866,0.2410137121338378
11273,SAN MATEO,4680.0,6.0,39.2,3.28,1856.0,49400197.0,1348712512.0,2919859.2,847598.08,88.0,17.0,15.0,13.4,0.4986237984807612,0.6438809789515774,0.2376584140288899
11274,SAN MIGUEL,634.0,1.0,40.6,2.9358823529411766,374.0,1094595.0,10314788.0,2296.8,1619493.04,6.0,3.0,13.0,18.6,0.5402973884793203,0.1871415702932511,0.1167062351618143
11278,SAN PATRICIO,117.0,1.0,,,,,,,,,1.0,8.0,21.6,0.5075049318123338,0.2024999709844775,0.5868713726162907
11279,SAN SABA,0.0,,40.7,2.9,102.0,145633.0,635766.0,550.8000000000001,116101.5,,1.0,2.0,21.5,0.5530563186813187,0.2495166616546101,0.3123282967032967
11280,SANBORN,0.0,,46.3,2.79,70.0,39840.0,164920.0,287.0,39938.5,,,3.0,15.1,0.5159420289855072,0.1151058585862217,0.0463768115942029
11281,SANDOVAL,1536.0,1.0,37.8,3.22,806.0,6485227.0,110957990.0,28532.4,2995023.46,22.0,3.0,11.0,17.9,0.4946677871805395,0.4837041333661814,0.4141080514133458
11282,SANDUSKY,749.0,2.0,,,,,,,,,1.0,9.0,22.0,0.5016960130908347,0.2151041945966041,0.1099255117868648
11283,SANGAMON,2308.0,3.0,39.1,2.94,4002.0,13607446.0,800428014.0,900850.2,3509914.08,,10.0,16.0,16.2,0.4833910781662845,0.4078513643496856,0.0268641985462695
11284,SANPETE,20.0,2.0,28.5,3.55,130.0,339203.0,3717740.0,2262.0,208369.2,3.0,1.0,6.0,22.9,0.5323980621719823,0.2134945068017593,0.0941999730857219
11285,SANTA BARBARA,4288.0,6.0,33.7,3.39,1705.0,22128355.0,722579000.0,262740.5,4690761.899999999,2.0,7.0,10.0,17.4,0.5017720469451623,0.3894275766103151,0.4745368232031128
11286,SANTA CLARA,12062.0,11.0,36.2,3.39,7352.0,137784233.0,13374295224.0,10088414.4,9545763.28,245.0,15.0,16.0,12.6,0.5105414643402131,0.6400303801147191,0.2471980737007234
11287,SANTA CRUZ,3240.0,5.0,36.36105263157894,3.326078947368421,1140.0,13213919.0,209770551.0,440589.0,839535.09,44.0,10.0,19.0,17.6,0.4895711560942595,0.16364993623322,0.8248118296109436
11291,SANTA FE,2703.0,3.0,43.0,2.94,1211.0,10558804.0,177738470.0,91309.4,2314063.57,28.0,,11.0,18.4,0.4884623291191284,0.2799545385967495,0.5034304656182547
11292,SANTA ROSA,2402.0,3.0,39.1,2.99,298.0,3477443.0,46154538.0,44014.6,305438.08,,2.0,13.0,19.6,0.5124477979300744,0.354796065966187,0.0657897391409607
11293,SARASOTA,5763.0,5.0,52.5,2.64,467.0,9624871.0,178654119.0,305931.7,270500.41000000003,,6.0,6.0,17.5,0.4795083562989145,0.2500553584418687,0.1030119882496982
11294,SARATOGA,1459.0,2.0,,,,,,,,,2.0,28.0,18.7,0.4971209856070218,0.2286475637725137,0.0376302884877113
11295,SARGENT,0.0,,45.8,2.79,127.0,81430.0,484632.0,558.8000000000001,110150.91,1.0,,6.0,16.7,0.5399209486166008,0.2166562885254546,0.0353096179183135
11296,SARPY,599.0,2.0,33.0,3.18,1083.0,8674298.0,176919963.0,695286.0,267955.86,31.0,,4.0,16.9,0.5053497021159687,0.3225709485108257,0.1128397938469522
11297,SAUK,716.0,3.0,39.9,2.9400000000000004,389.0,1796930.0,24363070.0,28397.0,330066.5,,,13.0,19.6,0.5012238320385545,0.1652150637557207,0.0615564711069218
11298,SAUNDERS,0.0,1.0,41.4,3.01,186.0,474040.0,3886842.0,5096.4,141306.06,3.0,1.0,13.0,15.9,0.5138852841941345,0.1150540524777222,0.0255212388614932
11299,SAWYER,302.0,1.0,47.0,2.77,165.0,366510.0,2750220.0,2029.5,222802.8,,,9.0,19.4,0.5116654992187079,0.3945569508519271,0.0291502774933994
11300,SCHENECTADY,1669.0,2.0,39.8,2.99,655.0,4326188.0,102012320.0,483128.0,137399.35,,1.0,24.0,19.9,0.4921764224544483,0.5186612033774614,0.080359541016784
11301,SCHLEICHER,0.0,1.0,33.7,3.43,36.0,47044.0,128088.0,93.6,47184.12,,,1.0,20.9,0.5095460330929147,0.2163340122322577,0.5519728468392023
11302,SCHLEY,0.0,,36.9,3.24,78.0,86110.0,406380.0,2324.4,13092.3,,2.0,1.0,20.7,0.4808718861209964,0.4407255496055432,0.0667259786476868
11303,SCHOHARIE,71.0,1.0,42.4,2.87,298.0,550442.0,9857840.0,15585.4,186646.34000000003,,,13.0,20.6,0.5041745667431726,0.1587685584988584,0.0405149186707913
11304,SCHUYLER,0.0,2.0,43.593017241379314,2.856086206896552,1160.0,852068.0,10895674.0,27627.1,476500.69,,2.0,18.0,17.1,0.5409131337088645,0.1888595361004024,0.0263860065223836
11313,SCHUYLKILL,2445.0,3.0,43.20000000000001,2.89,908.0,4087855.0,134358576.0,172066.0,710709.76,,5.0,68.0,21.5,0.5155271690518783,0.2114666163103607,0.0777965675313059
11314,SCIOTO,3526.0,2.0,38.8,2.96,1278.0,2056062.0,101710908.0,164989.8,787273.5599999999,,,16.0,25.8,0.4972573898107876,0.1842584023628156,0.0164833642684987
11315,SCOTLAND,570.0,2.0,38.52285714285714,3.078428571428572,630.0,2101863.0,18613677.0,57981.9,217108.5,1.0,,10.0,24.2,0.4992461770407064,0.0761655450701067,0.0131380572905449
11319,SCOTT,617.0,13.0,39.14798512089275,2.966464145484604,4839.0,22733241.0,435995753.0,947423.5,2167955.02,16.0,22.0,71.0,24.7,0.509535951045385,0.2871109654445075,0.0851606323304436
11440,SEARCY,0.0,,46.6,2.81,62.0,159720.0,512244.0,762.6,41448.86,,2.0,6.0,25.7,0.5111139176559737,0.1625753444588763,0.0337206365243748
11441,SEBASTIAN,1123.0,3.0,,,,,,,,14.0,,17.0,24.8,0.4942313205588142,0.4561764601530798,0.1577805499810164
11442,SEDGWICK,0.0,10.0,34.58076923076923,3.1425,3900.0,35693166.0,1938746925.0,1889490.0,3900829.5,84.0,13.0,12.0,19.5,0.4941176470588235,0.213810627870672,0.1773420479302832
11446,SEMINOLE,5289.0,4.0,38.58599852616064,3.039535740604274,1357.0,22237619.0,518258941.0,1492960.0,455782.3,4.0,11.0,13.0,17.5,0.4879211816898231,0.481252577586145,0.2381196059919962
11455,SENECA,784.0,3.0,39.42770083102493,2.958587257617729,722.0,1911105.0,36735086.0,71543.4,365688.84,,,22.0,21.0,0.5158445350039536,0.2188807285131437,0.0412079557204549
11459,SEQUATCHIE,100.0,,40.7,2.94,70.0,238415.0,1012620.0,3717.0,18617.2,,1.0,6.0,27.0,0.5062984209592525,0.1371046811319784,0.0448281980010645
11460,SEQUOYAH,513.0,1.0,39.0,3.06,185.0,910566.0,7958700.0,10989.0,132093.69999999998,2.0,1.0,19.0,26.6,0.4978445559281014,0.6084341020074798,0.0545793732825774
11461,SEVIER,2251.0,2.0,36.08341968911917,3.187927461139896,579.0,3489966.0,27108498.0,38330.8,686430.86,2.0,2.0,22.0,24.1,0.5090526584215224,0.3631412282180715,0.348591100344256
11470,SEWARD,0.0,2.0,32.82561247216035,3.282182628062361,449.0,1448034.0,9155437.0,14781.1,275090.47,9.0,,8.0,17.4,0.516246839591722,0.2931289378253896,0.6617192621031932
11474,SHACKELFORD,0.0,,42.7,2.99,147.0,148454.0,502593.0,543.9,134582.91,,,2.0,22.3,0.5059635907093534,0.2057322049103781,0.1286880100439422
11475,SHASTA,2315.0,4.0,41.79999999999999,2.94,1626.0,14508228.0,290779206.0,74958.6,6255937.44,41.0,5.0,21.0,19.5,0.494296136627425,0.357061671023743,0.1172995080970541
11476,SHAWANO,74.0,1.0,42.8,2.91,285.0,811270.0,12058635.0,13138.5,259164.75,,,11.0,21.1,0.5073130166805263,0.3016412700078128,0.0332143031844641
11477,SHEBOYGAN,1160.0,2.0,40.3,2.97,673.0,3059010.0,78335181.0,150213.6,348223.66,,,24.0,18.8,0.5095934352220365,0.3016819506302405,0.0723432421652905
11478,SHELBY,22588.0,18.0,38.99803890049831,3.039625462144349,6221.0,42631665.0,1760993947.0,2315753.1,4245914.46,6.0,10.0,83.0,23.5,0.4876214066879604,0.3927017286803328,0.061212871824957
11559,SHENANDOAH,263.0,1.0,43.1,2.9,917.0,4343595.0,39146730.0,75102.3,469907.48,,1.0,9.0,20.1,0.4946851094111368,0.2203598835473314,0.0870619106920476
11560,SHERIDAN,0.0,5.0,45.754332552693214,2.8005971896955506,854.0,1437522.0,12445278.0,5323.6,1623708.34,9.0,2.0,19.0,17.5,0.5018556701030927,0.1283790471234878,0.0614432989690721
11585,SHERMAN,0.0,1.0,43.417130620985006,2.890706638115632,467.0,798258.0,1974227.0,2103.7,427786.25,4.0,2.0,8.0,18.5,0.511492281303602,0.1781060485224977,0.1331046312178387
11601,SIERRA,61.0,1.0,53.91902834008097,2.6449797570850206,247.0,550707.0,2618274.0,716.1999999999999,912086.42,3.0,1.0,15.0,18.3,0.5066832452595585,0.2228647071415513,0.1311781162573826
11605,SIOUX,0.0,5.0,32.87622820919176,3.19081352350766,1893.0,1914180.0,60730921.0,77758.29999999999,1543747.98,11.0,4.0,13.0,15.7,0.5032177531206657,0.1245119200966987,0.1200554785020804
11614,SISKIYOU,498.0,2.0,46.8,2.82,211.0,1932120.0,9537200.0,1498.1,1339326.7200000002,9.0,5.0,27.0,19.3,0.498557031607879,0.3823204319394284,0.140975721484196
11615,SITKA,0.0,,38.1,3.01,140.0,339230.0,1278480.0,420.0,408758.0,2.0,,2.0,16.0,,,
11616,SKAGIT,1411.0,3.0,,,,,,,,22.0,,15.0,24.8,0.4994473200740972,0.2958023022782493,0.1988809184396892
11617,SKAGWAY,0.0,,41.5,2.73,24.0,23731.0,23664.0,50.400000000000006,11192.88,,,1.0,17.1,,,
11618,SKAMANIA,0.0,,44.0,2.92,26.0,114839.0,297440.0,171.6,43781.92,1.0,,5.0,26.6,0.5116372391653291,0.3040687637201365,0.0891653290529695
11619,SLOPE,0.0,,49.1,2.74,40.0,24875.0,29800.0,24.0,48767.2,,,2.0,16.7,0.5267857142857143,0.1929386733544155,0.0446428571428571
11620,SMITH,1254.0,7.0,44.3534516765286,2.8913214990138068,507.0,715728.0,5599134.0,11756.1,349719.8,2.0,8.0,24.0,17.5,0.5038211151995471,0.1444007385518723,0.0314180583073874
11636,SMYTH,281.0,2.0,43.0,2.84,791.0,2950714.0,25632355.0,56319.2,357769.3,,,7.0,22.5,0.4952629970457401,0.1418131193353022,0.0245848755475567
11637,SNOHOMISH,9110.0,5.0,37.0,3.12,5243.0,59475877.0,3823389591.0,1773182.6,11059793.92,132.0,3.0,23.0,25.3,0.5049691755180168,0.5549120237513784,0.1162616849129665
11638,SNYDER,20.0,,,,,,,,,,1.0,12.0,22.5,0.4962423080802986,0.1247189655874699,0.0258751134873398
11639,SOCORRO,431.0,1.0,37.0,3.09,234.0,542449.0,4215276.0,631.8000000000001,1555772.4,3.0,,5.0,18.0,0.5141793360223395,0.4623930296336924,0.5043748060812907
11640,SOLANO,4122.0,6.0,36.9,3.3,1329.0,35265659.0,555770523.0,617453.4,1182477.75,53.0,8.0,15.0,16.3,0.4996623932861946,0.7450085896649407,0.291025901008809
11641,SOMERSET,3239.0,7.0,43.78694567627495,2.8286945676274944,3608.0,5196572.0,229409752.0,133591.30000000002,10315609.67,,8.0,84.0,23.2,0.5023092880347567,0.1242109348426354,0.015245215076911
11657,SOMERVELL,0.0,1.0,40.3,3.11,58.0,214797.0,515156.0,2563.6000000000004,11140.64,,1.0,1.0,22.0,0.5000512452598135,0.1974927640936685,0.1792559188275084
11658,SONOMA,5396.0,7.0,39.8,3.11,1571.0,25756280.0,765172831.0,478055.3000000001,2497921.42,65.0,8.0,33.0,17.2,0.4926737801719673,0.3802299845039875,0.288600435097897
11659,SOUTHEAST FAIRBANKS (CA),0.0,,,,,,,,,,,,,,,
11660,SPALDING,548.0,1.0,37.1,3.12,347.0,1939795.0,22242353.0,111317.6,69309.78,,2.0,2.0,20.0,0.4769802231605218,0.523469296734458,0.0566897372277601
11661,SPARTANBURG,5309.0,2.0,37.9,3.05,993.0,10097125.0,286029678.0,344670.30000000005,813475.53,,2.0,29.0,20.5,0.4884842596528362,0.4745694764088964,0.0818116363194739
11662,SPINK,0.0,1.0,44.5,2.89,54.0,76181.0,347382.0,226.8,81526.5,1.0,,10.0,14.7,0.503448275862069,0.148801282035705,0.0336808340016038
11663,SPOKANE,5923.0,8.0,36.8,2.99,2631.0,30034483.0,1265621502.0,696162.6000000001,4685179.56,117.0,1.0,17.0,25.8,0.4999054012261456,0.3355568895287962,0.0690425512561625
11664,SPOTSYLVANIA,2108.0,1.0,,,,,,,,,,1.0,17.9,0.4973753817626527,0.5077124589715291,0.1265202334205933
11665,ST. CLAIR,4960.0,8.0,37.318905742145176,3.075446009389671,5538.0,29645457.0,1368303017.0,2026789.8,3730115.26,,24.0,,26.4,0.4965613422475833,0.3135218950960385,0.0265191840906187
11681,ST. CROIX,241.0,3.0,36.7,3.07,481.0,2867690.0,40982162.0,55170.7,353852.4599999999,,2.0,,19.8,0.5045773144339023,0.1474325879830659,0.0275888644719164
11682,ST. JOHNS,1985.0,2.0,42.2,2.95,487.0,7786920.0,96542393.0,140499.5,320782.03,,4.0,,18.7,0.4915412216750695,0.3237523931329242,0.0869603475415606
11683,ST. JOSEPH,3312.0,6.0,36.76615988229525,3.0723589995095635,2039.0,12700428.0,445875784.0,958024.4,969383.36,,13.0,,21.3,0.4894392324250461,0.4429491540249282,0.1019086521154594
11687,ST. LAWRENCE,719.0,6.0,37.3,2.95,875.0,1476434.0,98658000.0,34912.5,2454217.5,,1.0,,23.3,0.511328933567245,0.1939936897494132,0.023586087828242
11688,ST. LUCIE,3684.0,3.0,42.4,2.99,661.0,8769341.0,185993502.0,317610.5,382150.54,,3.0,,17.8,0.4923390873812391,0.489315753530408,0.2192141710156563
11689,STAFFORD,1486.0,2.0,45.6,2.9,210.0,152428.0,932190.0,1176.0,166891.2,,4.0,10.0,18.6,0.5088905584773353,0.1814217184230818,0.1382419233658903
11693,STANISLAUS,5726.0,5.0,32.9,3.5200000000000005,2381.0,23857494.0,1234665169.0,809063.8,3604453.04,74.0,7.0,17.0,18.0,0.4997941136456396,0.4532718061712768,0.5032116457303524
11694,STANLEY,0.0,,42.1,2.87,35.0,117352.0,107975.0,70.0,53093.25,1.0,,2.0,14.2,0.5128376125375125,0.2944334294992615,0.0276758919639879
11695,STANLY,929.0,1.0,40.5,2.97,630.0,2127670.0,38666880.0,94437.0,254696.4,,,12.0,23.2,0.5015509796891805,0.3677367746153658,0.0527644849032781
11696,STANTON,0.0,1.0,36.76787564766839,3.1379274611398964,193.0,168250.0,695313.0,1367.1999999999998,114613.94,1.0,1.0,3.0,18.0,0.4956698930208864,0.2358551267729471,0.4049923586347427
11700,STARK,5200.0,6.0,41.0654334038055,2.9478858350951374,3784.0,19480325.0,1071081640.0,1833092.4,2486891.12,7.0,5.0,37.0,17.6,0.5062675397567821,0.1404739984476126,0.0267539756782039
11709,STARKE,516.0,1.0,40.4,3.02,182.0,548723.0,4308304.0,13613.599999999997,56856.8,,4.0,7.0,24.7,0.5053314988391091,0.1130889696941218,0.0471235703843838
11710,STARR,0.0,1.0,29.0,3.92,256.0,1575533.0,16149248.0,12697.6,314723.84,,,6.0,20.7,0.4881633398247322,0.0592409799048223,0.96064082278481
11711,STEELE,0.0,1.0,39.62919937205651,2.99585557299843,637.0,1763780.0,20445614.0,46773.59999999999,300007.69,8.0,1.0,7.0,20.6,0.5006952243435477,0.2098846110747512,0.0861543398042676
11715,STEPHENS,270.0,3.0,40.58209408194234,2.9653566009104706,659.0,1757829.0,20505479.0,51689.1,410176.12,,4.0,15.0,21.1,0.4832442933462846,0.3609433532076494,0.0445324466694063
11724,STEPHENSON,121.0,1.0,43.1,2.9,1278.0,3458315.0,61421958.0,107863.2,722223.36,,2.0,11.0,17.2,0.4874733536571389,0.3451209816738999,0.0509088408554335
11725,STERLING,0.0,,41.7,2.97,30.0,89316.0,34560.0,36.0,27703.2,,,,21.3,0.502470007057163,0.1767421058161715,0.3846153846153846
11726,STEUBEN,811.0,5.0,41.17570909090909,2.9475054545454547,1375.0,4224891.0,114479382.0,109114.0,1559600.56,,5.0,46.0,22.5,0.5135493160547157,0.1266857349769028,0.0431965442764578
11730,STEVENS,33.0,4.0,37.34258289703316,3.029040139616056,573.0,1102687.0,10881642.0,8358.7,686767.66,11.0,1.0,16.0,18.9,0.4973913043478261,0.1839308225920658,0.3885990338164251
11739,STEWART,103.0,,40.24463276836158,2.94316384180791,177.0,342124.0,1791102.0,3639.2,84864.02,,3.0,6.0,16.9,0.6673838209982789,0.6112599516178161,0.2971170395869191
11743,STOKES,1012.0,1.0,42.7,2.8999999999999995,416.0,900350.0,19933888.0,43264.0,189579.52,,,11.0,23.0,0.4929717764250138,0.2014580582206742,0.0408633093525179
11744,STONE,0.0,1.0,44.65806451612903,2.8681720430107527,372.0,918618.0,8626036.0,16960.0,190543.68,2.0,4.0,17.0,25.9,0.4963817097415507,0.1364167024307617,0.0213916500994035
11753,STONEWALL,0.0,1.0,46.2,2.83,73.0,43161.0,110814.0,116.8,67176.06,,,1.0,22.1,0.5025380710659898,0.2695342682368025,0.2038917089678511
11754,STOREY,0.0,,50.4,2.76,19.0,106550.0,76266.0,288.8,5012.58,,,2.0,18.5,0.5146282973621104,0.287812548588202,0.0964028776978417
11755,STRAFFORD,2190.0,2.0,36.7,2.93,2918.0,9773671.0,360728996.0,945723.8,1108664.92,,,13.0,25.3,0.4960876960876961,0.2297608765346138,0.0314496314496314
11756,SUBLETTE,0.0,,38.0,2.99,111.0,215036.0,1222998.0,233.1,547852.71,2.0,,1.0,16.0,0.53098254022595,0.1704267840242084,0.0684697021567956
11757,SUFFOLK,18453.0,30.0,35.127363184079606,3.115843007186291,1809.0,29736685.0,661100215.0,9547805.6,471050.98,,19.0,110.0,19.3,0.483550609944662,0.6490546006792197,0.2394827116016707
11763,SUFFOLK (CITY),1043.0,,,,,,,,,,,,,,,
11764,SULLIVAN,4871.0,9.0,43.64870895760281,2.866477526299012,3137.0,9113838.0,183509950.0,333248.4,1917379.57,2.0,5.0,80.0,23.7,0.5492985002418964,0.2014141527274198,0.0190614417029511
11800,SULLY,0.0,,46.5,2.82,11.0,9620.0,15279.0,14.3,11771.98,,,2.0,14.1,0.5322909585316111,0.1855833394871974,0.0285520054384772
11801,SUMMERS,393.0,1.0,45.7,2.79,142.0,206722.0,1999644.0,5381.8,52220.5,,,6.0,26.9,0.4558748512157796,0.2126804681410836,0.021169869069886
11802,SUMMIT,8805.0,9.0,39.483093525179854,2.999623685666851,3614.0,34345489.0,1619209058.0,3806267.5,2232787.07,16.0,6.0,31.0,18.2,0.5443153934238508,0.2004005398196526,0.1512514313757565
11811,SUMNER,2753.0,3.0,39.68642533936651,3.0375113122171946,884.0,4178758.0,68361616.0,109433.2,834413.8400000001,3.0,7.0,24.0,19.7,0.5034485827437369,0.1984264761953559,0.0629199483825034
11815,SUMTER,2390.0,3.0,39.74746987951807,2.9755341365461847,1245.0,6681725.0,92230859.0,141168.19999999998,813260.25,,8.0,18.0,23.2,0.4609803425293174,0.4569396214421782,0.0152703956804184
11831,SURRY,982.0,2.0,42.36986899563319,2.965393013100437,916.0,3347780.0,48829454.0,94189.8,419385.94,,,19.0,23.4,0.4922342198507065,0.2192056530155832,0.1204851336778566
11835,SUSQUEHANNA,215.0,2.0,45.10000000000001,2.89,852.0,1322298.0,37270740.0,44389.2,709128.1199999999,,2.0,14.0,22.0,0.5093239481010663,0.102116232443884,0.0211430372432631
11836,SUSSEX,6179.0,5.0,44.097833859095694,2.940412197686645,4755.0,20674737.0,798423187.0,943142.9,3851924.76,,16.0,50.0,15.5,0.4858139680257544,0.379690583185442,0.0971963931300692
11845,SUTTER,1037.0,1.0,34.6,3.46,814.0,4804991.0,77833866.0,126739.8,495359.7,17.0,2.0,3.0,17.2,0.5002385714140686,0.5725069579136929,0.3325482472615047
11846,SUTTON,0.0,1.0,38.7,3.19,49.0,151121.0,199430.0,137.2,71266.58,,1.0,1.0,19.7,0.507304942493006,0.1818150509809024,0.6593099160708735
