,County Name,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Pharmacies,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H
10505,PIATT,0.0,1.0,42.5,2.92,981.0,1355995.0,16617159.0,37376.1,431012.16,,2.0,6.0,16.7,0.4991927285774084,0.1171521430792833,0.0163846199844525
10506,PICKAWAY,1002.0,1.0,38.3,3.03,616.0,1993478.0,34577312.0,67698.40000000001,312096.4,,,6.0,23.5,0.5237325691818137,0.1964968643295925,0.0188094563750562
10507,PICKENS,2446.0,3.0,37.70586245772266,2.9655806087936867,887.0,4419726.0,72179233.0,145322.9,500086.09,,5.0,29.0,24.4,0.5090121409851848,0.4911610427836527,0.0603840188265497
10516,PICKETT,0.0,,47.2,2.79,66.0,116973.0,340032.0,1920.6,11520.96,,,1.0,26.3,0.4997062854905032,0.0864841609407051,0.0242803994517329
10517,PIERCE,11108.0,12.0,39.23963133640553,2.937972350230415,434.0,917209.0,10833568.0,17790.2,309249.88,152.0,3.0,40.0,21.9,0.4972233240777469,0.3136449534181481,0.0523105910353034
10542,PIKE,1632.0,8.0,39.91586107091172,2.9685296671490597,3455.0,8771383.0,109489210.0,190750.2,2196106.75,,16.0,82.0,24.1,0.4789483249530502,0.5473206421239093,0.0248076573574847
10642,PIMA,16745.0,13.0,37.6,3.06,5830.0,81125115.0,5813069680.0,622061.0,53571170.4,178.0,8.0,25.0,20.4,0.4948472811477339,0.4127570659066322,0.3847921278142808
10643,PINAL,4502.0,5.0,35.3,3.21,2170.0,14346085.0,852130790.0,151683.0,11660538.4,35.0,9.0,20.0,19.3,0.5183430499360127,0.4510418829880738,0.317295552769124
10644,PINELLAS,20065.0,13.0,,,,,,,,,9.0,19.0,17.7,0.4835584290540365,0.4041226371242225,0.1086313438469272
10645,PITT,2574.0,2.0,31.0,3.01,1036.0,6481860.0,179532584.0,266044.8,678414.24,,,21.0,21.2,0.470462481704717,0.5561805368411883,0.0706226734738564
10646,PITTSBURG,295.0,2.0,41.2,2.91,310.0,1144409.0,14013550.0,10323.0,427152.1,,,19.0,26.1,0.5096645495609108,0.552174090282678,0.0602343337995551
10647,PITTSYLVANIA,640.0,,44.1,2.87,1720.0,2765040.0,110128160.0,111628.0,1682796.4,,,22.0,19.6,0.4998331998932479,0.4053458594139977,0.0312082999733119
10648,PIUTE,0.0,,40.6,3.18,34.0,30693.0,54094.0,68.0,26035.84,,,,22.5,0.4969737726967048,0.1343909069179854,0.0800268997982515
10649,PLACER,2833.0,3.0,40.3,3.07,2180.0,33418680.0,776332880.0,505760.0,3274512.6,69.0,8.0,18.0,16.7,0.4922637227961663,0.4326577325311608,0.1549313979874189
10650,PLATTE,0.0,4.0,40.33874538745388,2.946309963099631,1084.0,5585716.0,65995524.0,140660.4,941920.36,18.0,1.0,20.0,21.1,0.4958926665098522,0.3854825023251855,0.0693813668192592
10659,PLEASANTS,0.0,,42.5,2.9,74.0,111917.0,566174.0,4181.0,9954.48,,,2.0,26.2,0.5504877405747429,0.1317155356164237,0.0131821776957553
10660,POLK,10021.0,22.0,37.06596161782914,3.042122368964094,9692.0,77885372.0,3256097360.0,4590357.099999999,8529915.98,137.0,32.0,103.0,25.0,0.4934581372498319,0.2092171186556435,0.0674872007033148
10804,PONTOTOC,168.0,4.0,36.068333333333335,3.058404761904762,420.0,1425604.0,14318103.0,23504.1,255119.82,,1.0,16.0,22.5,0.4917646309216604,0.3731601999162123,0.075918315333397
10808,POPE,209.0,2.0,42.95053533190578,2.822762312633833,934.0,2260359.0,22077118.0,29109.599999999995,582782.72,10.0,6.0,18.0,26.7,0.4987122453757902,0.2469573425346261,0.1064699914149691
10817,PORTAGE,1752.0,3.0,36.78374622356496,2.947093655589124,1655.0,8652706.0,219061314.0,404387.6,1004550.3,,,28.0,24.1,0.4944078642307336,0.2785550997005617,0.0225292899316825
10821,PORTER,1815.0,2.0,38.2,3.07,1572.0,8619257.0,261233388.0,615280.7999999999,660098.52,,8.0,22.0,20.6,0.4957635118512967,0.2459654089432474,0.1131866057176857
10822,PORTSMOUTH (CITY),2594.0,,,,,,,,,,,,,,,
10823,POTTAWATOMIE,677.0,3.0,36.9,3.04,445.0,1851862.0,31401425.0,38981.99999999999,352942.85,20.0,5.0,19.0,17.9,0.5054618810185362,0.1989168128111224,0.0576637612758345
10827,POTTER,994.0,7.0,39.15302382406842,3.071343921808185,1637.0,6356548.0,113049441.0,119581.30000000002,1634841.38,32.0,2.0,14.0,22.1,0.5042540073982738,0.1016796200926121,0.0168927250308261
10836,POWER,0.0,1.0,33.2,3.39,220.0,427880.0,1739100.0,1188.0,317394.0,1.0,1.0,2.0,18.4,0.5073128408527516,0.2546698318311823,0.3490332176499752
10837,POWHATAN,299.0,,41.6,3.02,746.0,1494573.0,21411692.0,79747.40000000001,195653.42,,,4.0,19.6,0.520848550287402,0.2824666549544896,0.0266442249674489
10838,PRAIRIE,0.0,1.0,47.25722543352601,2.7740462427745665,173.0,368246.0,1110759.0,1585.1,173428.88,,,11.0,23.2,0.5076217623001611,0.2895640848387634,0.0228033213533275
10842,PREBLE,636.0,,40.9,2.99,486.0,1323641.0,20516004.0,48162.6,207269.28,,,10.0,23.4,0.5011084835944428,0.121272833100951,0.01214405360134
10843,PRESIDIO,0.0,,38.4,3.35,62.0,100785.0,486700.0,124.0,239106.1,,1.0,2.0,21.0,0.5145647415389796,0.2391417572501525,0.8290958073749789
10844,PRESTON,300.0,1.0,42.0,2.84,180.0,385765.0,6221520.0,9270.0,117248.4,,,12.0,26.1,0.5303172187756058,0.1181932486005166,0.0151586093878028
10845,PRICE,0.0,1.0,48.3,2.73,199.0,287780.0,2814457.0,2208.9,254409.56,,,8.0,19.4,0.5183722406375626,0.1625368839162765,0.0232033288666337
10846,PRINCE EDWARD,32.0,1.0,,,,,,,,,,5.0,20.3,0.5134765357778082,0.5102667670418971,0.0406348337665891
10847,PRINCE GEORGE,251.0,,37.8,3.08,907.0,3142869.0,33625211.0,121265.9,242368.54000000004,,,5.0,18.9,0.5635461584828674,0.5839473031869407,0.0993879538183335
10848,PRINCE WILLIAM,3387.0,2.0,33.6,3.44,308.0,3183896.0,127967532.0,362885.6,105086.52,,,12.0,16.4,0.503407996418472,0.6724675078138774,0.2577714434749036
